OBJECTID,Facility_Name,Type,Owner,County,Latitude,Longitude
25,Abby Health Services,Medical Clinic,Private Practice - General Practitioner,Kitui,-1.03669000000,38.00940000000
26,ABC Thange Dispensary,Dispensary,Other Faith Based,Makueni,-2.50087000000,38.01595000000
27,Abdallah Dental Clinic (Barclays Plaza-Nairobi),Dental Clinic,Private Practice - Unspecified,Nairobi,-1.28474000000,36.81815000000
28,Abdisamad Dispensary,Dispensary,Ministry of Health,Garissa,0.04883000000,39.65491000000
29,Abdiwaqo Dispensary,Dispensary,Ministry of Health,Wajir,2.17684000000,39.33620000000
30,Aberdare Health Services,Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,-0.76514100000,36.82470000000
31,Aberdare Medical & Surgical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,-0.55812700000,36.92640000000
32,Abidha Health Centre,Health Centre,Ministry of Health,Siaya,-0.15902000000,34.41064000000
33,Able Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kakamega,0.22351000000,34.81428000000
34,Aboloi Dispensary,Dispensary,Ministry of Health,Busia,0.65654000000,34.39563000000
35,Abra Health Services,Medical Clinic,Private Practice - Unspecified,Nairobi,-1.29070000000,36.90275000000
36,Abraham Memorial Nursing Home (Westlands),Maternity Home,Private Enterprise (Institution),Nairobi,-1.26735000000,36.75793000000
37,Abrahams Clinic,Medical Clinic,Private Enterprise (Institution),Kirinyaga,-0.40098000000,37.25930000000
38,Absalom Wangulu Dispensary,Dispensary,Ministry of Health,Kisumu,-0.17013000000,34.84837000000
39,Abundant Life Clinic,Medical Clinic,Private Enterprise (Institution),Kisumu,-0.12248600000,34.75213200000
40,Acacia Clinic (Kilimani),Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.26418000000,36.79893000000
41,Acacia Medical Centre (Nairobi),Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.28443000000,36.82113000000
42,Acacia Medicare Centre,Medical Clinic,Private Practice - Clinical Officer,Kajiado,-1.36158100000,36.65714000000
43,Acc&S Kariua Dispensary,Dispensary,Christian Health Association of Kenya,Murang'a,-0.83403000000,36.97599000000
44,Access Afya,Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.31085000000,36.84270000000
45,Access Afya Medical Centre Viwandani,Medical Clinic,Private Practice - Medical Specialist,Nairobi,-1.30936000000,36.87844000000
46,Ace Africa (k) Wellness Centre,VCT Centre (Stand-Alone),Non-Governmental Organizations,Bungoma,0.24560000000,34.25600000000
47,Acef Ena Health Centre,Health Centre,Other Faith Based,Embu,-0.47344000000,37.55271000000
48,ACK Dispensary (Isiolo),Dispensary,Christian Health Association of Kenya,Isiolo,0.35699000000,37.57572000000
49,ACK Kanunga Dispensary,Dispensary,Christian Health Association of Kenya,Kiambu,-1.16216000000,36.78138000000
50,ACK Mwingi CHBC Clinic,Dispensary,Christian Health Association of Kenya,Kitui,-0.93904000000,38.06006000000
51,ACK Nyandarua Medical Clinic,Medical Clinic,Christian Health Association of Kenya,Nyandarua,0.03461000000,36.37201000000
52,ACK Tumaini Medical Clinic,Medical Clinic,Christian Health Association of Kenya,Nyeri,-0.42082000000,36.95441000000
53,Acode Medical Clinic Maungu,Medical Clinic,Private Enterprise (Institution),Taita Taveta,-3.55733000000,38.75037000000
54,Aculaser Institute,Training Institution in Health (Stand-alone),Private Enterprise (Institution),Nairobi,-1.26237000000,36.82461000000
55,Adadijolle Dispensary,Dispensary,Ministry of Health,Wajir,3.33436000000,39.45842000000
56,ADC Danisa Dispensary,Dispensary,Non-Governmental Organizations,Kilifi,-3.05351000000,39.50986000000
57,Ademasajida Dispensary,Dispensary,Ministry of Health,Wajir,1.02825000000,39.48850000000
58,Adenawale Dispensaty,Dispensary,Ministry of Health,Wajir,2.14030000000,39.29617000000
59,Adiedo Dispensary,Dispensary,Ministry of Health,Homa Bay,-0.42727000000,34.60247000000
60,Administration Police Dispensary (Kisumu East),Dispensary,Ministry of Health,Kisumu,-0.12409000000,34.75813000000
61,Administration Police Senior Staff College Dispens,Dispensary,Ministry of Health,Makueni,-2.14277000000,37.56218000000
62,Adoma Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Migori,-0.91634000000,34.52189000000
63,Adu Dispensary,Dispensary,Ministry of Health,Kilifi,-2.83976000000,39.98014000000
64,Adurkoit Dispensary,Dispensary,Ministry of Health,West Pokot,1.35742000000,34.92782000000
65,Advent Med & Dentist Care Centre,Medical Clinic,Private Practice - General Practitioner,Nakuru,-0.28631000000,36.06565000000
66,Adventist Centre For Care and Support (Kilimani),VCT Centre (Stand-Alone),Other Faith Based,Nairobi,-1.28899000000,36.80751000000
67,Afraha Maternity and Nursing Home,Nursing Home,Private Enterprise (Institution),Nakuru,-0.29746000000,36.07421000000
68,Africa Inland Church Dispensary,Dispensary,Christian Health Association of Kenya,Wajir,1.74868000000,40.06798000000
69,African Divine Church-Org,VCT Centre (Stand-Alone),Other Faith Based,Nairobi,-1.24541000000,36.80472000000
70,African Muslim Agency Dispensary,Dispensary,Supreme Council for Kenya Muslims,Isiolo,0.52541000000,38.50904000000
71,African Muslim Agency- Matsangoni,Dispensary,Supreme Council for Kenya Muslims,Kilifi,-3.23366000000,39.55701000000
72,Afwan Medical Centre,Nursing Home,Private Enterprise (Institution),Nairobi,-1.28321000000,36.84050000000
73,Afwein Dispensary,Dispensary,Ministry of Health,Garissa,0.35346000000,39.35608000000
74,Afwene Clinic,Medical Clinic,Private Practice - Clinical Officer,Garissa,-0.43407000000,39.65269000000
75,Afya Bora Clinic (Meru South),Medical Clinic,Private Enterprise (Institution),Tharaka Nithi,-0.33367000000,37.64403000000
76,Afya Bora Clinic (Mutomo),Medical Clinic,Private Practice - Nurse / Midwife,Kitui,-1.50099000000,38.12479000000
77,Afya Bora Clinic (Mwea),Medical Clinic,Private Enterprise (Institution),Kirinyaga,-0.68105400000,37.29040000000
78,Afya Bora Clinic Karia,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,-1.10056000000,36.81912000000
79,Afya Bora Health Care,Medical Clinic,Non-Governmental Organizations,Nairobi,-1.26779000000,36.75751000000
80,Afya Bora Health Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,-0.13267000000,36.37921000000
81,Afya Bora Mc,Medical Clinic,Private Practice - Nurse / Midwife,Trans Nzoia,1.01331000000,34.98641000000
82,Afya Bora Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nakuru,-0.34365000000,36.05765000000
83,Afya Bora Medical Clinic (CFW Clinic Gichugu),Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,-0.52465800000,37.41892000000
84,Afya Bora Medical Clinic (Malindi),Medical Clinic,Private Practice - Nurse / Midwife,Kilifi,-2.86282000000,40.14820000000
85,Afya Bora Medical Clinic (Mirangine),Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,-0.17600000000,36.24414000000
86,Afya Bora Medical Clinic (Muchagara),Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,-0.46852000000,37.36062000000
87,Afya Bora Medical Clinic (Nyeri South),Medical Clinic,Private Practice - Clinical Officer,Nyeri,-0.43574000000,36.96286000000
88,Afya Bora Medical Clinic (Turkana Central),Medical Clinic,Private Practice - Clinical Officer,Turkana,3.11942000000,35.59954000000
89,Afya Bora Medical Clinic (Westlands),Medical Clinic,Private Enterprise (Institution),Nairobi,-1.26440000000,36.75237000000
90,Afya Clinic,Medical Clinic,Private Enterprise (Institution),Taita Taveta,-3.24262000000,38.21918000000
91,Afya Frank Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Kajiado,-1.38778000000,36.75230000000
92,Afya Health Care,Dispensary,Private Enterprise (Institution),Nairobi,-1.19949000000,36.90172000000
93,Afya Health Services,Medical Clinic,Private Practice - Clinical Officer,Nyeri,-0.55756200000,37.05250000000
94,Afya Health System Hospital,Sub-District Hospital,Private Practice - General Practitioner,Homa Bay,-0.53000000000,34.46000000000
95,Afya House Dispensary,Dispensary,Ministry of Health,Nairobi,-1.29107000000,36.81502000000
96,Afya Link Ngurubani Clinic,Medical Clinic,Private Enterprise (Institution),Kirinyaga,-0.68405000000,37.35810000000
97,Afya Medical Centre,Medical Clinic,Private Practice - Clinical Officer,Mombasa,-4.00659000000,39.70123000000
98,Afya Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,-1.07444000000,36.98550000000
99,Afya Medical Clinic,Medical Clinic,Private Enterprise (Institution),Meru,0.14007000000,37.53345000000
100,Afya Medical Clinic (Dandora),Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.25143000000,36.90057000000
101,Afya Medical Clinic (Garissa),Medical Clinic,Private Practice - Clinical Officer,Garissa,-0.45654000000,39.63904000000
102,Afya Medical Clinic (Gilgil),Medical Clinic,Private Practice - Clinical Officer,Nakuru,-0.49987000000,36.32373000000
103,Afya Medical Clinic (Gwakungu),Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,0.01650000000,36.49255000000
104,Afya Medical Clinic (Mbaruk),Medical Clinic,Private Practice - Clinical Officer,Nakuru,-0.35429000000,36.21398000000
105,Afya Medical Clinic (Meru),Medical Clinic,Private Practice - Unspecified,Meru,0.04021000000,37.64849000000
106,Afya Medical Clinic (Munyaka),Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,-0.68826000000,36.62214000000
107,Afya Medical Clinic (Muranga North),Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,-0.64772100000,36.90120000000
108,Afya Medical Clinic (Nakuru),Medical Clinic,Private Practice - Nurse / Midwife,Nakuru,-0.29448000000,36.09211000000
109,Afya Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Nyeri,-0.48076000000,37.12301000000
110,Afya Medical Clinic (Nyeri South),Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,-0.63244000000,37.12623000000
111,Afya Medical Clinic and Nursing Home (Wajir East),Medical Clinic,Private Enterprise (Institution),Wajir,1.74477000000,40.05697000000
112,Afya Medical Clinic(Dagoretti Market),Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,-1.28628000000,36.68569000000
113,Afya Medical Clinic(Mwingi),Medical Clinic,Private Practice - Clinical Officer,Kitui,-0.94306000000,38.06352000000
114,Afya Medical Laboratory,Laboratory (Stand-alone),Private Practice - Unspecified,Meru,0.12265000000,37.55971000000
115,Afya Medicare Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,-0.20607000000,37.09822000000
116,Afya Medicare Clinic (Wajir East),Medical Clinic,Private Enterprise (Institution),Wajir,1.75129000000,40.05686000000
117,Afya Njema Clinic,Medical Clinic,Private Enterprise (Institution),Machakos,-1.45360000000,36.98832000000
118,Afya Njema Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nakuru,-0.20643000000,35.84816000000
119,Afya Njema Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Nyeri,-0.16970000000,37.02112000000
120,Afya Nursing Home (Moyale),Nursing Home,Private Practice - Clinical Officer,Marsabit,3.52265000000,39.05860000000
121,Afya Yako Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Nyeri,-0.42228000000,37.00000000000
122,Afya Yetu Medical Centre,Medical Clinic,Private Practice - General Practitioner,Kajiado,-1.39246000000,36.75079000000
123,Afyafirst Medical Center,Medical Clinic,Private Practice - General Practitioner,Mombasa,-4.04277000000,39.66018000000
124,Afyamax Medical & Centre Dental,Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.20694000000,36.89414000000
125,Aga Khan,Medical Clinic,Private Practice - General Practitioner,Laikipia,0.04165000000,36.36212000000
126,Aga Khan Clinic,Medical Clinic,Private Enterprise (Institution),Laikipia,0.01010000000,37.07546000000
127,Aga Khan Clinic ( Ngong  Rd Prestige),Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.28321000000,36.84050000000
128,Aga Khan Clinic (Eastleigh),Medical Clinic,Private Enterprise (Institution),Nairobi,-1.27911000000,36.84887000000
129,Aga Khan Clinic Kitengela,Medical Clinic,Private Practice - General Practitioner,Kajiado,-1.47256000000,36.95456000000
130,Aga Khan Greenspam Medical Centre,Medical Clinic,Private Practice - Unspecified,Nairobi,-1.29923000000,36.90131000000
131,Aga Khan Health Service Bungoma Centre,Medical Clinic,Private Practice - Medical Specialist,Bungoma,0.54743000000,34.56167000000
132,Aga Khan Hospital,Other Hospital,Private Enterprise (Institution),Nairobi,-1.26223100000,36.81789700000
133,Aga Khan Hospital (Juja),Medical Centre,Private Enterprise (Institution),Kiambu,-1.04323000000,36.89654000000
134,Aga Khan Hospital (Kisumu),Other Hospital,Private Enterprise (Institution),Kisumu,-0.09937000000,34.75621000000
135,Aga Khan Hospital (Mombasa),Other Hospital,Private Enterprise (Institution),Mombasa,-4.07012000000,39.67003000000
136,Aga Khan MC Kitale,Medical Clinic,Private Enterprise (Institution),Trans Nzoia,1.01290000000,35.00263000000
137,Aga Khan Medical Centre Kericho,Medical Clinic,Private Practice - General Practitioner,Kericho,-0.37218000000,35.28087000000
138,Aga Khan University Hospital - Embu,Other Hospital,Private Practice - Medical Specialist,Embu,-0.53674000000,37.45170000000
139,Aga Khan University Hospital (Buruburu),Dispensary,Private Enterprise (Institution),Nairobi,-1.28254000000,36.87960000000
140,Aga Khan University Hospital (Capital Centre),Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.31661000000,36.83386000000
141,Aga Khan University Hospital Clinic (Naivasha),Medical Clinic,Private Enterprise (Institution),Nakuru,-0.71459000000,36.43354000000
142,Aga Khan University Hospital Kiambu Clinic,Medical Clinic,Private Practice - General Practitioner,Kiambu,-1.17195000000,36.82934000000
143,Aga Khan University Hospital -New Machakos Medical,Medical Clinic,Private Practice - General Practitioner,Machakos,-1.51993000000,37.26969000000
144,Aga Khan University Hospital- Nyeri Medical Centre,Health Centre,Private Enterprise (Institution),Nyeri,-0.02533300000,37.09400000000
145,Aga Khan University Hospital O/R Clinic,Medical Clinic,Private Practice - General Practitioner,Kajiado,-1.38778000000,36.75230000000
146,Agakhan Kisii,Medical Clinic,Private Enterprise (Institution),Kisii,-0.40470000000,34.46258000000
147,Agakhan Medical Centre,Medical Clinic,Private Practice - General Practitioner,Nakuru,-0.28651000000,36.06348000000
148,Agape Medical Services,Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,-0.78999300000,36.91700000000
149,Agawo Dispensary,Dispensary,Ministry of Health,Homa Bay,-0.46748000000,34.78740000000
150,Agc Baby Health Centre,Health Centre,Other Faith Based,Nakuru,-0.25955000000,35.97850000000
151,Agenga Dispensary,Dispensary,Ministry of Health,Migori,-0.91877000000,34.23407000000
152,Agenga Dispensary (Samia),Dispensary,Ministry of Health,Busia,0.25266000000,34.07067000000
153,Agha Khan University Hospital (Kikuyu Medical Centre),Other Hospital,Private Enterprise (Institution),Kiambu,-1.24577000000,36.66211000000
154,Agma Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Vihiga,0.15523000000,34.91108000000
155,Agro Chemical Dispensary,Dispensary,Private Enterprise (Institution),Kisumu,0.00000000000,35.00000000000
156,Aguthi Dispensary,Dispensary,Ministry of Health,Nyeri,-0.54185000000,37.02399000000
157,Ahadi Maternity Services,Dispensary,Private Practice - Nurse / Midwife,Kiambu,-1.00341000000,36.74133000000
158,Ahadi Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kilifi,-3.83283000000,39.45140000000
159,Ahero County Hospital,Other Hospital,Ministry of Health,Kisumu,-0.17321000000,34.92367000000
160,Ahero Medical Centre,Medical Clinic,Private Practice - Nurse / Midwife,Kisumu,-0.17296000000,34.92412000000
161,AHF Soko Clinic,Medical Clinic,Non-Governmental Organizations,Mombasa,-4.04153000000,39.68325000000
162,Ahmadiya Hospital,Other Hospital,Other Faith Based,Kakamega,0.31409000000,34.57571000000
163,AIC Biribiriet Dispensary,Dispensary,Other Faith Based,Trans Nzoia,1.02893000000,35.16853000000
164,AIC Dispensary (Isiolo),Dispensary,Christian Health Association of Kenya,Isiolo,0.33828000000,37.57018000000
165,AIC Ebenezer,Dispensary,Christian Health Association of Kenya,Baringo,0.48535000000,35.74207000000
166,AIC Gituru Dispensary,Dispensary,Christian Health Association of Kenya,Murang'a,-0.81464000000,36.86680000000
167,AIC Kalamba Dispensary,Dispensary,Other Faith Based,Makueni,-1.86649000000,37.51275000000
168,AIC Litein Mission Hospital,Other Hospital,Other Faith Based,Kericho,-0.58621000000,35.18650000000
169,AIC Liten VCT,VCT Centre (Stand-Alone),Christian Health Association of Kenya,Kericho,-0.58129000000,35.19104000000
170,AIC Mukaa Dispensary,Dispensary,Christian Health Association of Kenya,Makueni,-1.83442000000,37.32693000000
171,AIC Mununga Dispensary,Dispensary,Christian Health Association of Kenya,Murang'a,-0.78096000000,36.92437000000
172,AIC Parkview Dispensary,Dispensary,Christian Health Association of Kenya,Nakuru,-0.31257000000,36.05826000000
173,AIC Zion Medical Clinic,Medical Clinic,Other Faith Based,Nairobi,-1.26107000000,36.87213000000
174,AIC Zombe  Dispensary,Dispensary,Christian Health Association of Kenya,Kitui,-1.44564000000,38.24427000000
175,AIDS Health Care Foundation Parklands Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,-1.25811000000,36.81368000000
176,Aids HealthCare Foundation Eastleigh,Dispensary,Non-Governmental Organizations,Nairobi,-1.26630000000,36.85348000000
177,Aimon med clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nairobi,-1.24041000000,36.89572000000
178,Aina Onlus,Dispensary,Other Faith Based,Meru,0.11539000000,37.71327000000
179,Ainabkoi (RCEA) Health Centre,Health Centre,Ministry of Health,Uasin Gishu,0.16561000000,35.52176000000
180,Ainamoi Dispensary,Dispensary,Ministry of Health,Nakuru,-0.55684000000,35.60215000000
181,Ainamoi Health Centre,Health Centre,Ministry of Health,Kericho,-0.29943500000,35.27442000000
182,AIPCA Mahinga Dispensary,Dispensary,Other Faith Based,Nyandarua,-0.36219000000,36.34600000000
183,Air Port Medical Centre,Medical Clinic,Private Enterprise (Institution),Machakos,-1.39374000000,36.94028000000
184,Airborne No Twist Huduma Bora Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,-0.43029000000,37.30920000000
185,Airport Dispensary (Kisumu),Dispensary,Local Authority,Kisumu,-0.07331000000,34.73359000000
186,Airport View Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mombasa,-4.02982000000,39.61250000000
187,Airstrip Medical Clinic (Moyale),Medical Clinic,Other Public Institution,Marsabit,3.52340000000,39.04860000000
188,Airtech Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kajiado,-1.45336000000,36.65985000000
189,Aiyebo Dispensary,Dispensary,Ministry of Health,Baringo,0.65783000000,35.80768000000
190,Ajam VCT,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kajiado,-1.44125000000,36.69003000000
191,Ajawa Health Centre,Health Centre,Ministry of Health,Wajir,2.96213000000,39.69098000000
192,Aka Khan  Medical Clinic,Medical Clinic,Private Practice - Unspecified,Trans Nzoia,1.01212000000,35.00700000000
193,Akachiu Health Centre,Health Centre,Ministry of Health,Meru,0.18318000000,37.95661000000
194,Akado Dispensary,Dispensary,Private Practice - Nurse / Midwife,Homa Bay,-0.44261000000,34.22513000000
195,Akala Health Centre,Health Centre,Ministry of Health,Siaya,0.05961000000,34.42139000000
196,Akemo Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Mombasa,-4.08743000000,39.65945000000
197,Akemo Nursing Home,Maternity Home,Private Enterprise (Institution),Narok,-0.93404000000,34.84508000000
198,Akicha Medical Services,Medical Clinic,Private Practice - Clinical Officer,Turkana,3.10973000000,35.60969000000
199,Akichelesit Dispensary,Dispensary,Ministry of Health,Busia,0.69133000000,34.34332000000
200,Akidiva Kehancha Outpatient Clinic,Medical Clinic,Private Practice - General Practitioner,Migori,-1.19707000000,34.61838000000
201,Akiriamasi Dispensary,Dispensary,Ministry of Health,Busia,0.54572000000,34.21068000000
202,Akorian Dispensary,Dispensary,Ministry of Health,Baringo,0.62234000000,35.90683000000
203,Akshar Nursing Home,Nursing Home,Private Enterprise (Institution),Kiambu,-1.24860000000,36.66343000000
204,Akwichatis Health Centre,Health Centre,Ministry of Health,Baringo,1.00150000000,36.23617000000
205,Al - Azhar Medical Clinic Centre,Medical Clinic,Private Practice - Nurse / Midwife,Wajir,1.75741000000,40.06809000000
206,Al - Bushra Medical Centre,Medical Clinic,Private Enterprise (Institution),Wajir,1.75101000000,40.05594000000
207,Al - Hayat Medicare,Medical Clinic,Private Practice - Nurse / Midwife,Wajir,1.74546000000,40.05780000000
208,Al - Nasri Medical Care,Medical Clinic,Private Practice - Clinical Officer,Wajir,1.74395000000,40.05675000000
209,Al Amin Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Garissa,-0.44251000000,39.64477000000
210,Al Amin Nursing Home,Health Centre,Private Practice - Clinical Officer,Nairobi,-1.27144000000,36.84545000000
211,Al -Arbrar Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Samburu,1.09575000000,36.69820000000
212,Al Azhar Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Mombasa,-4.05469000000,39.66462000000
213,Al Farooq Hospital,Other Hospital,Private Enterprise (Institution),Mombasa,-4.04899000000,39.66513000000
214,Al Iklas Nursing Home,Nursing Home,Private Practice - Nurse / Midwife,Garissa,-0.43733000000,39.65465000000
215,AL Nur Medical Clinic & Laboratory,Medical Clinic,Private Enterprise (Institution),Kisumu,-0.10131000000,34.76148000000
216,Al Qudus Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Garissa,-0.42807000000,39.65069000000
217,Al Riyadh Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mombasa,-4.02498000000,39.62522000000
218,Al-Agsa Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mombasa,-4.04328000000,39.66141000000
219,Alakara Medical Clinic,Medical Clinic,Private Enterprise (Institution),Turkana,4.24126000000,34.39860000000
220,Alale (AIC) Health Centre,Health Centre,Christian Health Association of Kenya,West Pokot,2.26698000000,35.02813000000
221,Alale Health Centre,Health Centre,Ministry of Health,West Pokot,2.25005000000,35.02779000000
222,Al-Amin Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kilifi,-3.21457000000,40.11477000000
223,Al-Ansar Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Mandera,3.93993000000,41.85313000000
224,Al-Aqsa Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Garissa,-0.43754000000,39.64364000000
225,Albilal Medical Clinic (Moyale),Medical Clinic,Private Practice - Unspecified,Marsabit,3.52540000000,39.05840000000
226,Al-Bir Medical Centre,Medical Clinic,Private Enterprise (Institution),Mombasa,-4.05228000000,39.67372000000
227,Al-Bir Medical Centre (Kilindini),Medical Clinic,Private Enterprise (Institution),Mombasa,-4.03019000000,39.62144000000
228,Aldai Medical Services,Medical Clinic,Private Practice - Clinical Officer,Nandi,0.10507000000,35.18089000000
229,Alfa Clinic,Dispensary,Private Enterprise (Institution),Nyamira,-0.82872000000,35.02643000000
230,Alfalah Nursing Home,Health Centre,Supreme Council for Kenya Muslims,Isiolo,0.34842000000,37.58112000000
231,Al-Fallah Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,-1.27173000000,36.85126000000
232,Al-Faruq Dispensary,Dispensary,Supreme Council for Kenya Muslims,Garissa,-0.44220000000,39.65883000000
233,Al-Faruq Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Garissa,-0.43834000000,39.65516000000
234,Al-Firdaus Health Care,Medical Clinic,Private Practice - General Practitioner,Mombasa,-4.04535000000,39.66511000000
235,Al-Furaqan Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,1.74871000000,40.05859000000
236,Al-Gadhir Clinic,Medical Clinic,Non-Governmental Organizations,Nairobi,-1.28293000000,36.74322000000
237,Algadir Medical Clinic,Dispensary,Supreme Council for Kenya Muslims,Nakuru,-0.29912000000,36.06766000000
238,Alhamdu Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Wajir,1.01591000000,39.49084000000
239,Al-Hamdu Medical Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,1.75129000000,40.05686000000
240,Al-Haqq Medical Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,1.74691000000,40.05662000000
241,Alhidaya Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Wajir,1.01708000000,39.49343000000
242,Alice Nursing Home,Nursing Home,Private Enterprise (Institution),Nairobi,-1.31699000000,36.88650000000
243,Alika Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,-1.21849000000,36.71338000000
244,Aliki Medical Centre,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,-1.17330000000,36.75840000000
245,Alikune Dispensary,Dispensary,Ministry of Health,Garissa,-0.20670000000,40.00790000000
246,Alimaow Health Centre,Health Centre,Ministry of Health,Wajir,1.73461000000,40.04766000000
247,Alinjugur Health Centre,Health Centre,Ministry of Health,Garissa,-0.03048000000,40.45615000000
